id,label,number_corners,length_width_ratio
1562,Acer,34,1.526595745
610,Acer,30,1.887905605
498,Acer,35,1.494845361
1377,Acer,37,1.546174142
1525,Acer,33,1.541114058
227,Acer,31,1.573369565
990,Acer,32,1.607142857
201,Acer,34,1.702777778
569,Acer,36,1.648351648
1196,Acer,34,1.996969697
160,Acer,27,1.164835165
1000,Acer,43,1.171111111
164,Acer,43,1.104575163
962,Acer,43,1.093023256
235,Acer,38,1.076131687
496,Acer,40,1.063291139
1506,Acer,34,1.16744186
1019,Acer,34,1.146993318
268,Acer,39,1.141860465
166,Acer,41,1.11409396
1556,Acer,5,1.484641638
807,Acer,6,1.347079038
288,Acer,4,1.344512195
892,Acer,7,1.466898955
1005,Acer,3,1.473509934
1519,Acer,5,1.402255639
489,Acer,5,1.350453172
216,Acer,3,1.393491124
499,Acer,6,1.205633803
1342,Acer,5,1.292418773
1320,Acer,17,1.121779859
1,Acer,5,1.139150943
1450,Acer,8,1.065759637
906,Acer,11,1.063781321
1504,Acer,7,1.070135747
1159,Acer,3,1.073634204
1125,Acer,4,1.049773756
1002,Acer,8,1.183962264
317,Acer,6,1.00886918
1270,Acer,9,1.030769231
324,Acer,7,1.163212435
27,Acer,7,1.12596401
118,Acer,19,1.034825871
1041,Acer,12,1.095
1088,Acer,14,1.237726098
203,Acer,3,1.150793651
960,Acer,6,1.075268817
1551,Acer,12,1.141791045
1370,Acer,13,1.139325843
1085,Acer,10,1.135391924
362,Acer,4,1.242735043
1538,Acer,6,1.261946903
949,Acer,7,1.285204991
1578,Acer,6,1.281786942
956,Acer,5,1.220168067
1417,Acer,6,1.301587302
311,Acer,8,1.211505922
810,Acer,5,1.342198582
915,Acer,6,1.329136691
146,Acer,4,1.358208955
38,Acer,5,1.382892057
322,Acer,8,1.30653951
511,Acer,3,1.430930931
408,Acer,5,1.306985294
589,Acer,3,1.380555556
1467,Acer,6,1.385185185
754,Acer,10,1.383147854
1512,Acer,9,1.247960848
331,Acer,9,1.206578947
1011,Acer,7,1.199677939
238,Acer,45,1.058192956
727,Acer,40,1.112
698,Acer,38,1.012288786
1154,Acer,37,1.084795322
1243,Acer,49,1.005617978
1245,Acer,45,1.104361371
873,Acer,33,1.032626427
1117,Acer,31,1.057239057
1165,Acer,37,1.053380783
1216,Acer,41,1.019077901
853,Acer,76,1.161616162
364,Acer,58,1.133333333
148,Acer,77,1.064377682
713,Acer,84,1.109739369
