id,label,number_corners,perimeter_area_ratio
1562,Acer,34,0.013749363
610,Acer,30,0.013592838
498,Acer,35,0.013891426
1377,Acer,37,0.013899984
1525,Acer,33,0.013670077
227,Acer,31,0.013367011
990,Acer,32,0.013491508
201,Acer,34,0.013828427
569,Acer,36,0.013584498
1196,Acer,34,0.013902183
160,Acer,27,0.023676081
1000,Acer,43,0.024082421
164,Acer,43,0.022470764
962,Acer,43,0.021741849
235,Acer,38,0.022827532
496,Acer,40,0.021813598
1506,Acer,34,0.024421135
1019,Acer,34,0.023926223
268,Acer,39,0.023889268
166,Acer,41,0.025804091
1556,Acer,5,0.021474028
807,Acer,6,0.021214836
288,Acer,4,0.022639891
892,Acer,7,0.020406826
1005,Acer,3,0.020564435
1519,Acer,5,0.020598943
489,Acer,5,0.019585335
216,Acer,3,0.021944275
499,Acer,6,0.02026312
1342,Acer,5,0.024912369
1320,Acer,17,0.013794679
1,Acer,5,0.013434664
1450,Acer,8,0.013600736
906,Acer,11,0.013099076
1504,Acer,7,0.013319438
1159,Acer,3,0.012449585
1125,Acer,4,0.012774153
1002,Acer,8,0.013153798
317,Acer,6,0.012971294
1270,Acer,9,0.013868286
324,Acer,7,0.043249605
27,Acer,7,0.047282921
118,Acer,19,0.047496553
1041,Acer,12,0.048223019
1088,Acer,14,0.043428957
203,Acer,3,0.048424084
960,Acer,6,0.046853252
1551,Acer,12,0.048389646
1370,Acer,13,0.039944763
1085,Acer,10,0.043616281
362,Acer,4,0.021469433
1538,Acer,6,0.020200484
949,Acer,7,0.020689969
1578,Acer,6,0.021882054
956,Acer,5,0.021685886
1417,Acer,6,0.020711025
311,Acer,8,0.019884035
810,Acer,5,0.022038777
915,Acer,6,0.021323289
146,Acer,4,0.023153144
38,Acer,5,0.016940635
322,Acer,8,0.01429655
511,Acer,3,0.011684787
408,Acer,5,0.015835955
589,Acer,3,0.012895451
1467,Acer,6,0.015329871
754,Acer,10,0.013600475
1512,Acer,9,0.014785439
331,Acer,9,0.013478492
1011,Acer,7,0.014349176
238,Acer,45,0.012725146
727,Acer,40,0.01248197
698,Acer,38,0.013349947
1154,Acer,37,0.013031877
1243,Acer,49,0.011987877
1245,Acer,45,0.012691447
873,Acer,33,0.013979449
1117,Acer,31,0.01462655
1165,Acer,37,0.015988843
1216,Acer,41,0.013032596
853,Acer,76,0.009419344
364,Acer,58,0.01276018
148,Acer,77,0.010542404
713,Acer,84,0.009288091
652,Acer,93,0.010136122
641,Acer,74,0.010670363
651,Acer,76,0.011475301
1520,Acer,92,0.008907236
404,Acer,72,0.010207474
570,Acer,75,0.009856695
763,Acer,65,0.034494114
506,Acer,63,0.031992458
864,Acer,63,0.026491729
1182,Acer,49,0.044820785
167,Acer,60,0.030735463
253,Acer,59,0.035556723
1003,Acer,44,0.03558205
78,Acer,66,0.041507315
365,Acer,57,0.041242586
1184,Acer,44,0.038303909
186,Alnus,35,0.009097551
1435,Alnus,12,0.010834638
505,Alnus,18,0.009255483
629,Alnus,22,0.010278221
198,Alnus,17,0.010025218
839,Alnus,26,0.008501726
1235,Alnus,15,0.009250096
1477,Alnus,34,0.009022345
647,Alnus,27,0.009948085
1242,Alnus,22,0.008281827
877,Alnus,50,0.016634638
1287,Alnus,61,0.016338602
140,Alnus,69,0.016478053
893,Alnus,67,0.016526853
1217,Alnus,79,0.016495127
805,Alnus,65,0.015139175
663,Alnus,51,0.015632128
1232,Alnus,54,0.017848859
983,Alnus,63,0.015650942
1581,Alnus,73,0.015869154
493,Alnus,40,0.009620759
1021,Alnus,23,0.009821656
1258,Alnus,23,0.010771019
868,Alnus,46,0.01142869
290,Alnus,29,0.009864901
55,Alnus,33,0.010268654
314,Alnus,44,0.010667854
1118,Alnus,25,0.009047864
954,Alnus,25,0.01029967
475,Alnus,26,0.011362671
788,Alnus,55,0.012269224
971,Alnus,46,0.013753116
1396,Alnus,52,0.011889906
1096,Alnus,45,0.013763922
1302,Alnus,43,0.015130489
738,Alnus,39,0.016832937
34,Alnus,54,0.012589545
1004,Alnus,53,0.011554283
376,Alnus,62,0.012802461
371,Alnus,63,0.012520915
1124,Alnus,54,0.017986444
1566,Alnus,76,0.017160453
717,Alnus,69,0.015915987
646,Alnus,50,0.01827818
357,Alnus,46,0.017480473
1255,Alnus,42,0.017741095
374,Alnus,77,0.017667634
1550,Alnus,76,0.016662587
334,Alnus,72,0.017874079
394,Alnus,66,0.016250387
196,Arundinaria,1,0.023947233
1488,Arundinaria,2,0.019882694
464,Arundinaria,3,0.019409142
1039,Arundinaria,1,0.023735826
1034,Arundinaria,2,0.022261064
412,Arundinaria,1,0.020300723
37,Arundinaria,2,0.022439555
423,Arundinaria,1,0.018341441
199,Arundinaria,1,0.019906475
454,Arundinaria,1,0.020732262
488,Betula,82,0.010645939
286,Betula,79,0.010779841
18,Betula,49,0.011889683
175,Betula,68,0.009786326
747,Betula,68,0.011779301
1097,Betula,69,0.011001514
672,Betula,66,0.01079471
758,Betula,67,0.009318171
443,Betula,74,0.010250168
341,Betula,64,0.011423369
1393,Betula,27,0.028485274
339,Betula,22,0.029069394
461,Betula,17,0.027219006
621,Betula,15,0.024175453
1213,Betula,28,0.024113232
1013,Betula,24,0.024069208
1052,Betula,20,0.029319808
1473,Betula,18,0.023938407
415,Betula,16,0.026888715
615,Betula,22,0.027585811
992,Callicarpa,10,0.014375138
558,Callicarpa,3,0.013313958
143,Callicarpa,22,0.014864351
73,Callicarpa,16,0.015095651
765,Callicarpa,3,0.013552524
1119,Callicarpa,3,0.013397536
1367,Callicarpa,2,0.014051059
1179,Callicarpa,4,0.013464916
380,Callicarpa,3,0.014593489
969,Callicarpa,6,0.01373572
1087,Castanea,12,0.014334103
1296,Castanea,25,0.014072089
1153,Castanea,33,0.015869014
1511,Castanea,25,0.012328929
425,Castanea,22,0.013409487
1229,Castanea,14,0.014585023
1273,Castanea,33,0.012432282
926,Castanea,12,0.013404487
769,Castanea,19,0.012831748
592,Castanea,23,0.01092777
153,Celtis,38,0.013650632
169,Celtis,25,0.01416185
249,Celtis,37,0.014328041
100,Celtis,34,0.013669749
1425,Celtis,31,0.01443454
1175,Celtis,32,0.014431265
566,Celtis,36,0.013819458
1277,Celtis,30,0.013185008
61,Celtis,41,0.013633353
115,Celtis,42,0.014202191
58,Cercis,2,0.011165838
582,Cercis,1,0.01122167
242,Cercis,3,0.011058668
551,Cercis,1,0.011653308
398,Cercis,2,0.010993361
427,Cercis,3,0.011201862
1094,Cercis,4,0.011418045
914,Cercis,3,0.011386832
1471,Cercis,3,0.010988593
88,Cercis,3,0.011477664
513,Cornus,2,0.009943653
450,Cornus,2,0.014018185
800,Cornus,1,0.009457593
42,Cornus,3,0.008747372
1461,Cornus,3,0.007451976
745,Cornus,4,0.008491088
1405,Cornus,5,0.009572236
662,Cornus,2,0.010490705
737,Cornus,4,0.008423453
1256,Cornus,3,0.008834999
881,Cornus,2,0.011516548
1398,Cornus,2,0.011511907
71,Cornus,2,0.011318202
1527,Cornus,2,0.011413147
273,Cornus,2,0.011213188
614,Cornus,1,0.011593034
757,Cornus,2,0.011894427
1169,Cornus,2,0.011750649
932,Cornus,2,0.011321989
1345,Cornus,3,0.012089758
217,Cornus,4,0.010333018
1208,Cornus,2,0.011038349
972,Cornus,5,0.012393255
635,Cornus,2,0.01364274
523,Cornus,3,0.013018507
463,Cornus,2,0.014091923
939,Cornus,3,0.009936139
837,Cornus,3,0.011733244
677,Cornus,4,0.012175475
467,Cornus,1,0.012342389
572,Cotinus,1,0.011339352
1431,Cotinus,1,0.011577622
831,Cotinus,1,0.011318576
1386,Cotinus,1,0.011313472
622,Cotinus,1,0.01142375
360,Cotinus,1,0.011734167
1112,Cotinus,1,0.011690128
60,Cotinus,1,0.011188163
224,Cotinus,2,0.011535628
552,Cotinus,1,0.01134293
1284,Crataegus,35,0.019179348
968,Crataegus,38,0.017354106
709,Crataegus,36,0.017687436
1017,Crataegus,48,0.019024457
218,Crataegus,44,0.02447402
366,Crataegus,24,0.016767021
1066,Crataegus,47,0.020605373
721,Crataegus,39,0.018294581
1372,Crataegus,29,0.024562886
630,Crataegus,32,0.017776867
1392,Cytisus,5,0.017169142
49,Cytisus,3,0.017261697
1460,Cytisus,1,0.020286239
1132,Cytisus,1,0.017853446
792,Cytisus,1,0.016909118
553,Cytisus,1,0.01571293
1263,Cytisus,1,0.019340349
571,Cytisus,1,0.019713629
1355,Cytisus,1,0.020353566
419,Cytisus,2,0.015097637
1239,Eucalyptus,1,0.021863733
289,Eucalyptus,2,0.017799531
678,Eucalyptus,2,0.016826695
882,Eucalyptus,3,0.017796224
56,Eucalyptus,1,0.021944677
752,Eucalyptus,2,0.019102636
720,Eucalyptus,3,0.017323436
689,Eucalyptus,1,0.01791847
771,Eucalyptus,2,0.022261326
844,Eucalyptus,2,0.023668395
302,Eucalyptus,2,0.013865623
1186,Eucalyptus,2,0.013043214
760,Eucalyptus,2,0.012727052
996,Eucalyptus,2,0.012056527
173,Eucalyptus,2,0.013865121
1378,Eucalyptus,2,0.013112533
797,Eucalyptus,2,0.014322827
606,Eucalyptus,1,0.012267327
588,Eucalyptus,3,0.012039127
1452,Eucalyptus,3,0.012465721
310,Eucalyptus,2,0.013833596
772,Eucalyptus,2,0.013066481
1344,Eucalyptus,1,0.014310995
1373,Eucalyptus,1,0.012695455
1514,Eucalyptus,3,0.01396179
904,Eucalyptus,2,0.011568105
1080,Eucalyptus,1,0.015438487
660,Eucalyptus,2,0.013009839
393,Eucalyptus,1,0.013935258
265,Eucalyptus,2,0.012129569
1202,Fagus,3,0.011022813
516,Fagus,4,0.01041405
25,Fagus,2,0.010573002
258,Fagus,1,0.010309084
623,Fagus,2,0.011125883
45,Fagus,5,0.010053623
335,Fagus,1,0.010733419
437,Fagus,2,0.010578718
774,Fagus,2,0.009914139
1289,Fagus,1,0.012144664
462,Ginkgo,1,0.013461612
178,Ginkgo,1,0.014065961
116,Ginkgo,1,0.013277768
645,Ginkgo,2,0.014065083
1319,Ginkgo,1,0.013756381
1309,Ginkgo,2,0.01396393
532,Ginkgo,2,0.013889839
1536,Ginkgo,8,0.014101433
806,Ginkgo,2,0.014109106
413,Ginkgo,1,0.013970555
1349,Ilex,12,0.013659642
963,Ilex,10,0.013056027
1346,Ilex,15,0.011708963
1438,Ilex,20,0.012628469
155,Ilex,9,0.01261052
1325,Ilex,14,0.011426505
910,Ilex,8,0.013515676
600,Ilex,12,0.011722366
248,Ilex,14,0.01449013
1501,Ilex,15,0.013115236
789,Ilex,2,0.01561084
1463,Ilex,3,0.015672908
1250,Ilex,2,0.015321147
231,Ilex,2,0.017206042
1056,Ilex,2,0.01810247
106,Ilex,1,0.01750213
1360,Ilex,2,0.018956264
1347,Ilex,3,0.018211351
697,Ilex,3,0.017032235
1574,Ilex,2,0.017990514
1197,Liquidambar,6,0.012082253
1391,Liquidambar,21,0.012201381
396,Liquidambar,9,0.014003819
827,Liquidambar,10,0.015205218
568,Liquidambar,10,0.013115412
573,Liquidambar,11,0.011214482
1350,Liquidambar,12,0.011454402
358,Liquidambar,8,0.015173849
124,Liquidambar,8,0.011964437
219,Liquidambar,6,0.014059049
538,Liriodendron,2,0.005643801
878,Liriodendron,3,0.008091442
794,Liriodendron,2,0.00632649
48,Liriodendron,5,0.006146602
85,Liriodendron,4,0.007644482
430,Liriodendron,3,0.006018261
501,Liriodendron,4,0.005990615
722,Liriodendron,4,0.0054486
122,Liriodendron,2,0.006071741
212,Liriodendron,8,0.007644246
325,Lithocarpus,3,0.009383395
908,Lithocarpus,1,0.0085417
348,Lithocarpus,2,0.008702936
252,Lithocarpus,2,0.007558078
149,Lithocarpus,1,0.008538029
585,Lithocarpus,2,0.008414309
811,Lithocarpus,2,0.009405634
597,Lithocarpus,2,0.009235201
519,Lithocarpus,3,0.009529504
1131,Lithocarpus,1,0.008842367
410,Lithocarpus,2,0.012865506
1147,Lithocarpus,2,0.012516224
1483,Lithocarpus,2,0.013002804
1394,Lithocarpus,1,0.012378406
241,Lithocarpus,2,0.012376049
1036,Lithocarpus,2,0.012508179
616,Lithocarpus,4,0.012802752
619,Lithocarpus,3,0.012714249
233,Lithocarpus,2,0.013212473
428,Lithocarpus,3,0.012476744
856,Magnolia,2,0.007946988
363,Magnolia,2,0.009336851
1384,Magnolia,3,0.008335419
328,Magnolia,2,0.007341686
809,Magnolia,3,0.00734532
214,Magnolia,2,0.007747684
854,Magnolia,3,0.007327295
1219,Magnolia,3,0.007255755
1031,Magnolia,3,0.008385577
1206,Magnolia,3,0.008333769
411,Magnolia,1,0.010605531
749,Magnolia,3,0.010510346
562,Magnolia,2,0.01065199
338,Magnolia,2,0.010283708
748,Magnolia,2,0.010050855
256,Magnolia,1,0.01140713
8,Magnolia,3,0.009875638
1049,Magnolia,2,0.010071362
874,Magnolia,3,0.009376054
1575,Magnolia,2,0.009783324
390,Morus,40,0.01330164
550,Morus,45,0.008162085
716,Morus,51,0.009608939
304,Morus,44,0.01059705
1254,Morus,33,0.008245425
711,Morus,52,0.006985161
981,Morus,31,0.013039944
1173,Morus,46,0.010292113
1228,Morus,45,0.0118725
1440,Morus,61,0.008656356
502,Olea,2,0.025009619
931,Olea,2,0.030018828
449,Olea,2,0.027040106
633,Olea,1,0.032703188
1499,Olea,2,0.027698243
732,Olea,2,0.03135283
1032,Olea,2,0.027480484
1251,Olea,2,0.027541887
1505,Olea,2,0.028686301
342,Olea,1,0.027860049
1330,Phildelphus,4,0.012722627
886,Phildelphus,6,0.013512162
269,Phildelphus,11,0.012230309
1271,Phildelphus,11,0.010924186
609,Phildelphus,5,0.013881587
952,Phildelphus,10,0.011907048
673,Phildelphus,14,0.009575258
1014,Phildelphus,3,0.012923266
520,Phildelphus,19,0.010641703
26,Phildelphus,4,0.012952005
970,Populus,1,0.012824709
656,Populus,3,0.012579191
740,Populus,4,0.012168857
559,Populus,4,0.012663138
30,Populus,4,0.012287421
455,Populus,4,0.012357501
933,Populus,3,0.012722724
994,Populus,3,0.01220541
294,Populus,2,0.011900329
367,Populus,4,0.012486312
1223,Populus,4,0.012611259
1545,Populus,6,0.013128322
440,Populus,4,0.012425708
530,Populus,2,0.012064302
388,Populus,5,0.012234366
1001,Populus,3,0.012509862
694,Populus,7,0.012875081
1521,Populus,3,0.012086108
237,Populus,8,0.012511008
561,Populus,5,0.012593425
634,Populus,6,0.012464411
601,Populus,6,0.014156671
397,Populus,5,0.012163874
883,Populus,5,0.012634164
470,Populus,5,0.015010833
1413,Populus,6,0.014876182
712,Populus,5,0.012637097
282,Populus,5,0.011977815
188,Populus,6,0.014679936
985,Populus,4,0.012079896
894,Prunus,86,0.016560828
987,Prunus,59,0.014771696
924,Prunus,84,0.014453584
1286,Prunus,91,0.012726642
81,Prunus,83,0.016081055
1340,Prunus,85,0.014692839
456,Prunus,72,0.013466613
1322,Prunus,68,0.015049404
865,Prunus,90,0.017092882
145,Prunus,86,0.013218221
1547,Prunus,52,0.014605778
542,Prunus,52,0.017005328
1324,Prunus,58,0.013472267
1496,Prunus,60,0.012764751
1414,Prunus,53,0.015185392
1172,Prunus,91,0.011630927
80,Prunus,74,0.011808929
1411,Prunus,75,0.013179117
1468,Prunus,100,0.012845591
859,Prunus,88,0.013111086
1023,Pterocarya,6,0.017799102
1076,Pterocarya,34,0.01742861
762,Pterocarya,34,0.019398858
966,Pterocarya,20,0.017657748
1518,Pterocarya,32,0.018116098
2,Pterocarya,19,0.017548677
1328,Pterocarya,12,0.01979434
937,Pterocarya,6,0.021297567
431,Pterocarya,4,0.017625063
