id,label,solidity,ratio_of_areas
1562,Acer,1,1.641284592
610,Acer,0.92615858,1.647543038
498,Acer,1,1.712946048
1377,Acer,1,1.689711577
1525,Acer,0.9157141,1.666250808
227,Acer,0.922931293,1.62102204
990,Acer,1,1.620350642
201,Acer,1,1.679503181
569,Acer,0.92636201,1.660243107
1196,Acer,0.919305881,1.652080769
160,Acer,0.70187731,1.895579993
1000,Acer,0.699553305,1.796522859
164,Acer,0.72672881,1.826489287
962,Acer,0.739147072,1.798637825
235,Acer,0.664970949,1.920005439
496,Acer,0.711745095,1.771305702
1506,Acer,0.711088904,1.834857706
1019,Acer,0.700150759,1.917705405
268,Acer,0.725907743,1.737423777
166,Acer,0.692730691,1.939279367
1556,Acer,0.788562884,2.12332989
807,Acer,0.826379936,2.043934779
288,Acer,0.685094317,2.215706999
892,Acer,0.792322641,1.978888925
1005,Acer,0.796381931,2.087352251
1519,Acer,0.847418513,1.815085158
489,Acer,0.795393533,2.096807109
216,Acer,0.687627961,2.373291194
499,Acer,0.729439086,2.172744173
1342,Acer,0.759899995,2.069061926
1320,Acer,0.849644595,1.557100986
1,Acer,0.878913582,1.557934135
1450,Acer,0.868118747,1.57575435
906,Acer,0.865494769,1.55860753
1504,Acer,0.839661171,1.590315072
1159,Acer,0.900587379,1.448078533
1125,Acer,0.887491621,1.561278633
1002,Acer,0.875692339,1.616489333
317,Acer,0.86768894,1.562074189
1270,Acer,0.820863391,1.623380575
324,Acer,0.487504842,2.582074432
27,Acer,0.438322096,2.8771995
118,Acer,0.454465475,2.811661455
1041,Acer,0.445610141,2.856211281
1088,Acer,0.461840696,2.840704303
203,Acer,0.428927075,2.923044104
960,Acer,0.457956805,2.798781176
1551,Acer,0.440072273,2.915989759
1370,Acer,0.460563202,2.884807181
1085,Acer,0.474274674,2.917000058
362,Acer,0,3.231012923
1538,Acer,0.504113918,3.063879466
949,Acer,0.488605002,3.068829996
1578,Acer,0,3.299956677
956,Acer,0,3.285742538
1417,Acer,0.463506075,3.178014567
311,Acer,0.502681464,3.21146899
810,Acer,0.455360302,3.242388572
915,Acer,0.473592988,3.120156128
146,Acer,0.440460711,2.965061321
38,Acer,0.687915142,1.948196369
322,Acer,0.645164211,1.934530484
511,Acer,0.676307642,1.888543731
408,Acer,0.690351527,1.984800357
589,Acer,0.633796284,2.113837947
1467,Acer,0.640243498,2.013017433
754,Acer,0.677502609,2.00771195
1512,Acer,0.654141311,2.09663069
331,Acer,0.644722292,2.073605065
1011,Acer,0.678054995,1.995363581
238,Acer,0.748488005,1.839166711
727,Acer,0.763190759,1.735549243
698,Acer,0.74331494,1.843336842
1154,Acer,0.717188174,2.067534372
1243,Acer,0.746998865,1.970759013
1245,Acer,0.747855887,1.829280349
873,Acer,0.725030133,1.990617096
1117,Acer,0.716543271,2.074589845
1165,Acer,0.72576467,2.199070677
1216,Acer,0.758722328,1.914941415
853,Acer,0.857200955,1.749824348
364,Acer,0.829110174,1.802129968
148,Acer,0.812323876,1.938698975
713,Acer,0.852530581,1.745619384
652,Acer,0.81592101,1.925968233
641,Acer,0.84229724,1.842327914
651,Acer,0.838576334,1.87921617
1520,Acer,0.860818783,1.772090299
404,Acer,0.841356447,1.84457153
570,Acer,0.849677641,1.759615355
763,Acer,0.487821227,2.984555756
506,Acer,0.560119359,2.399928167
864,Acer,0.513203475,2.58357529
1182,Acer,0.4742164,3.111637081
167,Acer,0.505330012,2.721257444
253,Acer,0.538021107,2.481650919
1003,Acer,0.525148638,2.789330939
78,Acer,0.549223546,2.387711434
365,Acer,0.493158567,2.964566085
1184,Acer,0.552647258,2.63408187
186,Alnus,0.967937012,1.405197606
1435,Alnus,0.963043026,1.481842706
505,Alnus,0.971407171,1.41537084
629,Alnus,0.966463135,1.366439515
198,Alnus,0.953079637,1.486021938
839,Alnus,0.967525725,1.407339357
1235,Alnus,0.9649225,1.411477508
1477,Alnus,0.965255716,1.423226885
647,Alnus,0.956998089,1.488012981
1242,Alnus,0.967313181,1.392922672
877,Alnus,1,1.604824805
1287,Alnus,1,1.548274525
140,Alnus,0.914913176,1.575517453
893,Alnus,0,1.549375399
