id,label,length_width_ratio,perimeter_area_ratio
1562,Acer,1.526595745,0.013749363
610,Acer,1.887905605,0.013592838
498,Acer,1.494845361,0.013891426
1377,Acer,1.546174142,0.013899984
1525,Acer,1.541114058,0.013670077
227,Acer,1.573369565,0.013367011
990,Acer,1.607142857,0.013491508
201,Acer,1.702777778,0.013828427
569,Acer,1.648351648,0.013584498
1196,Acer,1.996969697,0.013902183
160,Acer,1.164835165,0.023676081
1000,Acer,1.171111111,0.024082421
164,Acer,1.104575163,0.022470764
962,Acer,1.093023256,0.021741849
235,Acer,1.076131687,0.022827532
496,Acer,1.063291139,0.021813598
1506,Acer,1.16744186,0.024421135
1019,Acer,1.146993318,0.023926223
268,Acer,1.141860465,0.023889268
166,Acer,1.11409396,0.025804091
1556,Acer,1.484641638,0.021474028
807,Acer,1.347079038,0.021214836
288,Acer,1.344512195,0.022639891
892,Acer,1.466898955,0.020406826
1005,Acer,1.473509934,0.020564435
1519,Acer,1.402255639,0.020598943
489,Acer,1.350453172,0.019585335
216,Acer,1.393491124,0.021944275
499,Acer,1.205633803,0.02026312
1342,Acer,1.292418773,0.024912369
1320,Acer,1.121779859,0.013794679
1,Acer,1.139150943,0.013434664
1450,Acer,1.065759637,0.013600736
906,Acer,1.063781321,0.013099076
1504,Acer,1.070135747,0.013319438
1159,Acer,1.073634204,0.012449585
1125,Acer,1.049773756,0.012774153
1002,Acer,1.183962264,0.013153798
317,Acer,1.00886918,0.012971294
1270,Acer,1.030769231,0.013868286
324,Acer,1.163212435,0.043249605
27,Acer,1.12596401,0.047282921
118,Acer,1.034825871,0.047496553
1041,Acer,1.095,0.048223019
1088,Acer,1.237726098,0.043428957
203,Acer,1.150793651,0.048424084
960,Acer,1.075268817,0.046853252
1551,Acer,1.141791045,0.048389646
1370,Acer,1.139325843,0.039944763
1085,Acer,1.135391924,0.043616281
362,Acer,1.242735043,0.021469433
1538,Acer,1.261946903,0.020200484
949,Acer,1.285204991,0.020689969
1578,Acer,1.281786942,0.021882054
956,Acer,1.220168067,0.021685886
1417,Acer,1.301587302,0.020711025
311,Acer,1.211505922,0.019884035
810,Acer,1.342198582,0.022038777
915,Acer,1.329136691,0.021323289
146,Acer,1.358208955,0.023153144
38,Acer,1.382892057,0.016940635
322,Acer,1.30653951,0.01429655
511,Acer,1.430930931,0.011684787
408,Acer,1.306985294,0.015835955
589,Acer,1.380555556,0.012895451
1467,Acer,1.385185185,0.015329871
754,Acer,1.383147854,0.013600475
1512,Acer,1.247960848,0.014785439
331,Acer,1.206578947,0.013478492
1011,Acer,1.199677939,0.014349176
238,Acer,1.058192956,0.012725146
727,Acer,1.112,0.01248197
698,Acer,1.012288786,0.013349947
1154,Acer,1.084795322,0.013031877
1243,Acer,1.005617978,0.011987877
1245,Acer,1.104361371,0.012691447
873,Acer,1.032626427,0.013979449
1117,Acer,1.057239057,0.01462655
1165,Acer,1.053380783,0.015988843
1216,Acer,1.019077901,0.013032596
853,Acer,1.161616162,0.009419344
364,Acer,1.133333333,0.01276018
148,Acer,1.064377682,0.010542404
713,Acer,1.109739369,0.009288091
652,Acer,1.005235602,0.010136122
641,Acer,1.086567164,0.010670363
651,Acer,1.123376623,0.011475301
1520,Acer,1.153129161,0.008907236
404,Acer,1.105654762,0.010207474
570,Acer,1.012064343,0.009856695
763,Acer,1.084063047,0.034494114
506,Acer,1.011673152,0.031992458
