id,label,number_corners,solidity
1562,Acer,34,1
610,Acer,30,0.92615858
498,Acer,35,1
1377,Acer,37,1
1525,Acer,33,0.9157141
227,Acer,31,0.922931293
990,Acer,32,1
201,Acer,34,1
569,Acer,36,0.92636201
1196,Acer,34,0.919305881
160,Acer,27,0.70187731
1000,Acer,43,0.699553305
164,Acer,43,0.72672881
962,Acer,43,0.739147072
235,Acer,38,0.664970949
496,Acer,40,0.711745095
1506,Acer,34,0.711088904
1019,Acer,34,0.700150759
268,Acer,39,0.725907743
166,Acer,41,0.692730691
1556,Acer,5,0.788562884
807,Acer,6,0.826379936
288,Acer,4,0.685094317
892,Acer,7,0.792322641
1005,Acer,3,0.796381931
1519,Acer,5,0.847418513
489,Acer,5,0.795393533
216,Acer,3,0.687627961
499,Acer,6,0.729439086
1342,Acer,5,0.759899995
1320,Acer,17,0.849644595
1,Acer,5,0.878913582
1450,Acer,8,0.868118747
906,Acer,11,0.865494769
1504,Acer,7,0.839661171
1159,Acer,3,0.900587379
1125,Acer,4,0.887491621
1002,Acer,8,0.875692339
317,Acer,6,0.86768894
1270,Acer,9,0.820863391
324,Acer,7,0.487504842
27,Acer,7,0.438322096
118,Acer,19,0.454465475
1041,Acer,12,0.445610141
1088,Acer,14,0.461840696
203,Acer,3,0.428927075
960,Acer,6,0.457956805
1551,Acer,12,0.440072273
1370,Acer,13,0.460563202
1085,Acer,10,0.474274674
362,Acer,4,0
1538,Acer,6,0.504113918
949,Acer,7,0.488605002
1578,Acer,6,0
956,Acer,5,0
1417,Acer,6,0.463506075
311,Acer,8,0.502681464
810,Acer,5,0.455360302
915,Acer,6,0.473592988
146,Acer,4,0.440460711
38,Acer,5,0.687915142
322,Acer,8,0.645164211
511,Acer,3,0.676307642
408,Acer,5,0.690351527
589,Acer,3,0.633796284
1467,Acer,6,0.640243498
754,Acer,10,0.677502609
1512,Acer,9,0.654141311
331,Acer,9,0.644722292
1011,Acer,7,0.678054995
238,Acer,45,0.748488005
727,Acer,40,0.763190759
698,Acer,38,0.74331494
1154,Acer,37,0.717188174
1243,Acer,49,0.746998865
1245,Acer,45,0.747855887
873,Acer,33,0.725030133
1117,Acer,31,0.716543271
1165,Acer,37,0.72576467
1216,Acer,41,0.758722328
853,Acer,76,0.857200955
