id,label,number_corners,length_width_ratio,perimeter_area_ratio,ratio_of_areas,solidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Cotinus_Coggygria,1,1.58,0.011339352,1.47198625,0.958101668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Eucalyptus_Neglecta,2,3.551724138,0.013865623,1.455608686,0.967243722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Quercus_x_Turneri,2,2.266881029,0.012842056,1.667072179,0.943527779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,Crataegus_Monogyna,35,1.008080808,0.019179348,1.871009037,0.807864687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Quercus_Agrifolia,8,1.425257732,0.010945606,1.492079387,0.934676425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Quercus_Kewensis,6,2.602739726,0.014293748,1.686373446,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Quercus_Coccinea,15,1.149741824,0.024456006,2.947693009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,Ilex_Aquifolium,12,1.779874214,0.013659642,1.557043496,0.945687441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Quercus_Greggii,10,1.727536232,0.011733876,1.505127623,0.954512996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Magnolia_Heptapeta,2,1.877755511,0.007946988,1.583177576,0.96858725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Prunus_Avium,86,2.27173913,0.016560828,1.749023576,0.88747828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,Cotinus_Coggygria,1,1.67638484,0.011577622,1.496327937,0.950231397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,Quercus_Infectoria_sub,6,2.336134454,0.016443765,1.592950609,0.928206748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Morus_Nigra,40,1.175105485,0.01330164,1.584779947,0.912771055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,Cytisus_Battandieri,5,2.356097561,0.017169142,1.450514195,0.97007256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Quercus_Suber,3,2.194444444,0.02629577,1.50511031,0.925875822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,Quercus_Ellipsoidalis,13,1.162818955,0.019699101,3.077807737,0.53260812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Lithocarpus_Edulis,2,2.664310954,0.012865506,1.624418578,0.957209944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Cytisus_Battandieri,3,2.125,0.017261697,1.410811798,0.975779201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Quercus_Kewensis,4,2.465346535,0.013549682,1.721014934,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Acer_Rufinerve,76,1.161616162,0.009419344,1.749824348,0.857200955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Acer_Palmatum,7,1.163212435,0.043249605,2.582074432,0.487504842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Quercus_Crassipes,3,3.451612903,0.025244017,1.419227169,0.981711378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
