id,label,number_corners,length_width_ratio,perimeter_area_ratio,ratio_of_areas,solidity,mu02,mu03,m11,nu02,m12,mu21,mu20,nu20,m30,nu21,mu11,mu12,nu11,nu12,m02,m03,m00,m01,mu30,nu30,nu03,m10,m20,m21,hu1,hu2,hu3,hu4,hu5,hu6,hu7
1562,Acer,34,1.526595745,0.013749363,1.641284592,1,0.333333333,4.66E-10,79000,0.083333333,7900131.667,6.98E-10,0.333333333,0.083333333,123260145,1.23E-10,0,7.89E-10,0,1.40E-10,20000.33333,2000100,2,200,2.98E-08,5.27E-09,8.23E-11,790,312050.3333,31205033.33,0.000686726,4.90E-08,3.97E-11,2.94E-12,3.18E-23,6.51E-16,6.05E-25
610,Acer,30,1.887905605,0.013592838,1.647543038,0.92615858,836343545.5,3155933415,6986982349,0.049011222,1.52E+12,-3734971172,2332949938,0.136715023,5.17E+12,-0.000605586,-91008864.4,-18438851231,-0.005333282,-0.002989664,5488269109,1.35E+12,130630.5,24651234.5,69854223979,0.011326121,0.000511701,37507311.5,13102245132,2.42E+12,0.000728861,1.21E-07,2.54E-11,4.30E-12,4.48E-23,1.48E-15,-3.61E-24
498,Acer,35,1.494845361,0.013891426,1.712946048,1,0.333333333,4.66E-10,70080,0.083333333,6727801.667,1.86E-09,0.333333333,0.083333333,97254615,3.29E-10,0,7.53E-10,0,1.33E-10,18432.33333,1769568,2,192,1.49E-08,2.63E-09,8.23E-11,730,266450.3333,25579232,0.000674352,3.42E-08,3.17E-11,2.33E-12,1.99E-23,4.30E-16,-2.38E-24
1377,Acer,37,1.546174142,0.013899984,1.689711577,1,0.333333333,3.73E-09,235170,0.083333333,47269365,1.56E-08,0.333333333,0.083333333,400403835,2.76E-09,0,2.84E-09,0,5.02E-10,80802.33333,16241403,2,402,1.19E-07,2.11E-08,6.59E-10,1170,684450.3333,137574517,0.000692396,5.18E-08,4.53E-11,4.21E-12,5.81E-23,9.52E-16,-1.71E-24
1525,Acer,33,1.541114058,0.013670077,1.666250808,0.9157141,1031729281,-1263336074,6810138535,0.060695589,1.67E+12,-724864252.6,1938782088,0.114056586,3.42E+12,-0.000118099,61431191.67,-29489280389,0.003613935,-0.004804557,6847699356,1.88E+12,130378,27536785.33,72661796616,0.011838464,-0.00020583,31953002.33,9769814610,2.09E+12,0.000685857,4.50E-08,4.20E-11,3.10E-12,3.51E-23,6.41E-16,4.48E-24
227,Acer,31,1.573369565,0.013367011,1.62102204,0.922931293,1005847359,-8176262301,6715918169,0.05914712,1.61E+12,14296508328,1929312763,0.113449911,3.61E+12,0.002327994,65899172.76,-17919988810,0.003875087,-0.002918029,6325412902,1.68E+12,130406.5,26338297.67,50781484119,0.008269082,-0.001331394,32925655,10242539153,2.12E+12,0.000677269,4.65E-08,2.19E-11,1.85E-12,1.17E-23,3.89E-16,-1.13E-24
990,Acer,32,1.607142857,0.013491508,1.620350642,1,0.333333333,3.73E-09,9592,0.083333333,2091063.333,6.82E-12,0.333333333,0.083333333,21318,1.21E-12,0,2.91E-11,0,5.14E-12,95048.33333,20720682,2,436,3.64E-12,6.43E-13,6.59E-10,44,968.3333333,211096.6667,0.000691164,5.93E-08,3.34E-11,2.99E-12,2.97E-23,7.06E-16,2.72E-24
201,Acer,34,1.702777778,0.013828427,1.679503181,1,0.333333333,4.66E-10,101520,0.083333333,12182541,2.33E-09,0.333333333,0.083333333,151374357,4.12E-10,0,5.13E-10,0,9.07E-11,28800.33333,3456120,2,240,2.98E-08,5.27E-09,8.23E-11,846,357858.3333,42943000,0.000707906,8.21E-08,3.59E-11,4.74E-12,6.19E-23,1.36E-15,-7.47E-25
569,Acer,36,1.648351648,0.013584498,1.660243107,0.92636201,966909734.9,-1470206902,7053669281,0.056788634,1.67E+12,2751568580,2020323788,0.118657848,4.12E+12,0.000447378,16931923.12,-23850604896,0.000994447,-0.003877875,6339751025,1.68E+12,130485.5,26477875.33,64444774897,0.010478089,-0.000239041,34677714.17,11236243257,2.29E+12,0.000688561,5.94E-08,2.99E-11,2.71E-12,2.44E-23,6.60E-16,-6.06E-25
1196,Acer,34,1.996969697,0.013902183,1.652080769,0.919305881,802776273.2,-2846191361,7492634894,0.047112981,1.65E+12,5913142677,2383324525,0.139871501,5.87E+12,0.000960508,62498483.74,-14316873231,0.003667884,-0.002325577,5395981088,1.31E+12,130535,24486200,57622719210,0.00936001,-0.000462324,39609774.33,14402585434,2.75E+12,0.000733915,1.34E-07,1.71E-11,3.11E-12,2.26E-23,1.13E-15,-1.94E-25
