id,label,number_corners,length_width_ratio,perimeter_area_ratio,ratio_of_areas,solidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Acer,34,1.526595745,0.013749363,1.641284592,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Acer,30,1.887905605,0.013592838,1.647543038,0.92615858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Acer,35,1.494845361,0.013891426,1.712946048,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,Acer,37,1.546174142,0.013899984,1.689711577,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Acer,33,1.541114058,0.013670077,1.666250808,0.9157141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Acer,31,1.573369565,0.013367011,1.62102204,0.922931293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Acer,32,1.607142857,0.013491508,1.620350642,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Acer,34,1.702777778,0.013828427,1.679503181,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Acer,36,1.648351648,0.013584498,1.660243107,0.92636201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Acer,34,1.996969697,0.013902183,1.652080769,0.919305881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Acer,27,1.164835165,0.023676081,1.895579993,0.70187731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Acer,43,1.171111111,0.024082421,1.796522859,0.699553305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Acer,43,1.104575163,0.022470764,1.826489287,0.72672881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Acer,43,1.093023256,0.021741849,1.798637825,0.739147072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Acer,38,1.076131687,0.022827532,1.920005439,0.664970949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Acer,40,1.063291139,0.021813598,1.771305702,0.711745095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Acer,34,1.16744186,0.024421135,1.834857706,0.711088904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Acer,34,1.146993318,0.023926223,1.917705405,0.700150759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Acer,39,1.141860465,0.023889268,1.737423777,0.725907743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Acer,41,1.11409396,0.025804091,1.939279367,0.692730691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,Acer,5,1.484641638,0.021474028,2.12332989,0.788562884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Acer,6,1.347079038,0.021214836,2.043934779,0.826379936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Acer,4,1.344512195,0.022639891,2.215706999,0.685094317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Acer,7,1.466898955,0.020406826,1.978888925,0.792322641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Acer,3,1.473509934,0.020564435,2.087352251,0.796381931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Acer,5,1.402255639,0.020598943,1.815085158,0.847418513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Acer,5,1.350453172,0.019585335,2.096807109,0.795393533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Acer,3,1.393491124,0.021944275,2.373291194,0.687627961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Acer,6,1.205633803,0.02026312,2.172744173,0.729439086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,Acer,5,1.292418773,0.024912369,2.069061926,0.759899995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,Acer,17,1.121779859,0.013794679,1.557100986,0.849644595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Acer,5,1.139150943,0.013434664,1.557934135,0.878913582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,Acer,8,1.065759637,0.013600736,1.57575435,0.868118747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Acer,11,1.063781321,0.013099076,1.55860753,0.865494769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Acer,7,1.070135747,0.013319438,1.590315072,0.839661171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Acer,3,1.073634204,0.012449585,1.448078533,0.900587379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Acer,4,1.049773756,0.012774153,1.561278633,0.887491621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Acer,8,1.183962264,0.013153798,1.616489333,0.875692339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Acer,6,1.00886918,0.012971294,1.562074189,0.86768894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,Acer,9,1.030769231,0.013868286,1.623380575,0.820863391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Acer,7,1.163212435,0.043249605,2.582074432,0.487504842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Acer,7,1.12596401,0.047282921,2.8771995,0.438322096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Acer,19,1.034825871,0.047496553,2.811661455,0.454465475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Acer,12,1.095,0.048223019,2.856211281,0.445610141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Acer,14,1.237726098,0.043428957,2.840704303,0.461840696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Acer,3,1.150793651,0.048424084,2.923044104,0.428927075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Acer,6,1.075268817,0.046853252,2.798781176,0.457956805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Acer,12,1.141791045,0.048389646,2.915989759,0.440072273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,Acer,13,1.139325843,0.039944763,2.884807181,0.460563202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Acer,10,1.135391924,0.043616281,2.917000058,0.474274674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Acer,4,1.242735043,0.021469433,3.231012923,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Acer,6,1.261946903,0.020200484,3.063879466,0.504113918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Acer,7,1.285204991,0.020689969,3.068829996,0.488605002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,Acer,6,1.281786942,0.021882054,3.299956677,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Acer,5,1.220168067,0.021685886,3.285742538,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,Acer,6,1.301587302,0.020711025,3.178014567,0.463506075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Acer,8,1.211505922,0.019884035,3.21146899,0.502681464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,Acer,5,1.342198582,0.022038777,3.242388572,0.455360302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Acer,6,1.329136691,0.021323289,3.120156128,0.473592988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Acer,4,1.358208955,0.023153144,2.965061321,0.440460711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Acer,5,1.382892057,0.016940635,1.948196369,0.687915142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Acer,8,1.30653951,0.01429655,1.934530484,0.645164211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Acer,3,1.430930931,0.011684787,1.888543731,0.676307642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Acer,5,1.306985294,0.015835955,1.984800357,0.690351527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Acer,3,1.380555556,0.012895451,2.113837947,0.633796284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Acer,6,1.385185185,0.015329871,2.013017433,0.640243498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Acer,10,1.383147854,0.013600475,2.00771195,0.677502609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
